Statistical profiling result from isolate-0x4ea6bf0-409463-v8-409463.log, (26432 ticks, 89 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  15459   58.5%          /home/knrd/.nvm/versions/node/v15.14.0/bin/node
     35    0.1%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
    258    1.0%    2.4%  LazyCompile: *Subscription.unsubscribe /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/Subscription.js:17:51
    241    0.9%    2.2%  LazyCompile: *<anonymous> /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/@marblejs+core@3.4.9_fp-ts@2.10.2+rxjs@6.6.7/node_modules/@marblejs/core/dist/http/router/http.router.resolver.v2.js:32:60
    214    0.8%    2.0%  LazyCompile: *Observable.subscribe /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/Observable.js:21:47
    208    0.8%    1.9%  LazyCompile: *parserOnHeadersComplete node:_http_common:78:33
    183    0.7%    1.7%  LazyCompile: *resolve /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/@marblejs+core@3.4.9_fp-ts@2.10.2+rxjs@6.6.7/node_modules/@marblejs/core/dist/http/router/http.router.resolver.v2.js:72:21
    182    0.7%    1.7%  LazyCompile: *MergeMapSubscriber._next /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/operators/mergeMap.js:55:51
    171    0.6%    1.6%  LazyCompile: *clearBuffer node:internal/streams/writable:534:21
    170    0.6%    1.6%  LazyCompile: *parserOnIncoming node:_http_server:860:26
    154    0.6%    1.4%  LazyCompile: *_storeHeader node:_http_outgoing:379:22
    153    0.6%    1.4%  LazyCompile: *<anonymous> /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/@marblejs+core@3.4.9_fp-ts@2.10.2+rxjs@6.6.7/node_modules/@marblejs/core/dist/operators/matchEvent/matchEvent.operator.js:14:57
